word	greedy	greedy_adv	simple
ABLEITEN	1	1	1
AKADEMIE	1	1	1
AKTIVIST	1	1	1
ABBILDEN	2	1	0
ANBIETER	1	1	1
ANGENEHM	1	1	1
ABSTRAKT	2	1	1
ANDERSWO	2	2	1
ALBTRAUM	2	1	1
ABLEHNEN	2	2	1
ANLASSER	1	1	1
ANLIEGEN	2	1	1
ARBEITEN	1	0	1
ABLENKEN	2	2	2
ANWEISEN	2	1	1
ARBEITER	1	1	1
ASTRONOM	1	1	1
ATTRIBUT	1	1	2
ARABISCH	2	1	1
AUSBLICK	1	1	1
AUFSEHEN	2	1	2
AUSFAHRT	1	1	1
AUSDRUCK	2	1	1
ANLOCKEN	2	2	1
AUSSICHT	1	1	1
AUTOBAHN	1	1	1
BARRIERE	1	1	1
BATTERIE	1	1	2
BEDEUTEN	1	1	1
BEGABTES	1	1	1
AUFGEBEN	2	2	1
ANREGUNG	2	2	2
BEGRENZT	1	1	1
BEHALTEN	1	1	1
ANPASSEN	2	2	2
AUSGEBEN	2	2	2
AUSNAHME	2	1	2
BELIEBIG	1	1	1
BEKLAGTE	1	1	1
BERATUNG	1	1	1
BEGRABEN	1	2	1
BEREITEN	1	1	1
BEISEITE	1	2	1
AUSGABEN	2	1	2
BESITZEN	1	1	1
BESTIMMT	1	1	2
BESUCHER	1	1	1
BETONUNG	1	1	2
AUFLADEN	2	2	1
BEWACHEN	1	1	1
BERGWERK	2	1	1
BESTEHEN	1	2	2
BENUTZEN	2	2	2
BEWEGUNG	1	1	2
BESETZEN	2	1	2
BEWOHNER	1	1	1
BEGEGNEN	2	2	1
BETRIEBS	2	1	1
BEISPIEL	1	1	1
BISSCHEN	1	1	2
BRILLANT	1	1	1
ANKOMMEN	2	2	1
AUFSTAND	2	1	1
BEWERTEN	2	1	3
BEWEISEN	2	1	2
BEWAHREN	1	2	2
BENEHMEN	2	2	2
CHAMPION	1	2	1
DEZEMBER	1	1	1
DIABETES	1	1	1
DIAGRAMM	1	1	1
DIENSTAG	1	1	2
DIREKTOR	1	1	2
CHEMISCH	2	1	1
BRITISCH	2	1	1
BIOLOGIE	2	2	1
EIGENTUM	1	1	1
COMPUTER	1	2	1
EINLADEN	1	1	1
DETEKTIV	1	2	1
BEKENNEN	2	2	2
DRAUSSEN	1	1	1
EMISSION	1	1	1
ENTWEDER	1	1	1
ELLBOGEN	1	2	1
EFFEKTIV	1	2	2
ERGEBNIS	1	1	1
ERHOLUNG	1	1	1
ERINNERN	1	1	2
DESIGNER	2	2	1
ENGLISCH	2	1	1
ENTFERNT	1	2	1
DARLEHEN	2	2	1
DOMINANT	2	2	1
ERHALTEN	1	2	1
ERTRAGEN	1	1	2
ERWARTET	1	1	1
BEZEUGEN	2	2	2
DIAGNOSE	2	2	1
ERZIEHEN	1	2	1
ERSETZEN	2	1	2
ERZIEHER	1	1	1
ERWARTEN	1	2	2
FAHRBAHN	1	1	1
FACHMANN	1	1	1
ERFAHREN	2	2	1
FAHRZEUG	1	1	1
FANTASIE	1	1	1
EXISTENZ	1	2	2
DEUTLICH	2	2	1
