word	greedy	greedy_adv	simple
ABBRUCH	1	1	0
ABRUFEN	1	1	1
ABFAHRT	2	1	1
ABSTURZ	2	1	1
ABSICHT	1	2	1
ACHTUNG	1	2	1
ABHEBEN	2	2	1
AGENTUR	1	2	1
ABSOLUT	2	2	1
ALLIANZ	1	2	1
ABFLUSS	2	2	1
ALKOHOL	2	2	1
ANDROID	1	2	1
ANALYSE	2	2	2
ANGEBOT	1	1	2
ANFRAGE	1	2	2
ANGRIFF	1	2	2
ANKLAGE	1	2	2
ANREGEN	1	1	1
ANKUNFT	2	1	1
ANGEBEN	2	2	1
ANZEIGE	1	1	2
ARTIKEL	1	1	2
ANTWORT	1	1	2
ATTACKE	1	1	1
ANNAHME	2	1	3
ANGEHEN	2	2	2
ANTRIEB	1	2	1
ANRUFER	1	2	2
ANSTAND	2	2	2
AUSREDE	1	1	1
ANWESEN	2	2	2
AUFGABE	2	2	1
AUFSATZ	2	2	2
AUFLAGE	2	2	2
AUSGABE	2	2	2
BAUSATZ	1	2	1
BEGRIFF	2	2	1
AUSWAHL	2	2	1
BEITRAG	1	2	1
AUSGANG	1	2	2
BERATER	2	1	3
AUSLAUF	2	2	3
BELIEBT	2	1	1
BERATEN	2	2	2
BETRIEB	1	1	1
BETONEN	1	2	2
BAHNHOF	2	2	1
BEKANNT	2	2	1
BEENDEN	2	2	1
BESORGT	1	2	1
BILLION	2	1	2
BEREICH	2	2	1
BISCHOF	1	2	1
BILDUNG	2	2	1
BEISSEN	2	2	2
BINDUNG	2	2	2
DAGEGEN	1	1	1
BRINGEN	1	2	2
BRENNEN	2	2	2
DANKBAR	2	2	2
CHRONIK	2	2	1
BEWUSST	2	2	1
BROWSER	2	2	2
DESHALB	2	1	2
DEBATTE	2	1	1
DISKURS	1	1	1
BROCKEN	2	2	1
BRECHEN	2	2	1
DIGITAL	1	2	2
DEUTUNG	2	2	1
CHANCEN	2	2	1
DENKMAL	2	1	2
DEUTSCH	2	1	1
DIAMANT	2	1	2
CLUSTER	2	2	1
DEFIZIT	2	2	1
DUTZEND	1	2	1
EHRGEIZ	2	1	1
EHEMANN	2	1	1
DRACHEN	2	2	1
DISTANZ	2	2	3
DIREKTE	2	2	1
DRUCKEN	2	2	2
DICHTER	2	2	2
DYNAMIK	1	2	3
DRECKIG	2	2	1
ENTWURF	1	1	2
EINHEIT	2	1	1
EINTRAG	1	2	1
ELEMENT	2	1	2
ERFREUT	2	1	1
ELEFANT	2	2	2
DENNOCH	2	2	1
ERDNUSS	2	2	2
DOPPELT	2	2	2
ELEGANT	2	2	2
ENERGIE	1	2	1
EMOTION	2	1	2
FAMILIE	2	1	2
EINGANG	2	2	2
FENSTER	1	1	2
FIKTION	1	1	2
ETIKETT	2	1	2
FLEISCH	1	2	3
ENDLICH	2	2	2
FITNESS	1	2	2
EXTRAKT	1	2	1
ERPICHT	1	2	3
ETHISCH	2	2	2
FREITAG	1	2	2
GALAXIS	1	2	2
GEBOREN	1	1	1
FREMDER	2	1	2
EXPERTE	2	2	2
FLASCHE	2	2	2
FAHRRAD	2	2	1
GESAMTE	1	1	2
GESTELL	1	1	2
GALERIE	1	2	2
EHRLICH	2	2	1
EHEFRAU	2	2	1
ERHEBEN	2	2	1
GITARRE	1	1	2
ERKENNE	2	2	2
GESTERN	1	2	3
FRIEDEN	1	2	2
GESELLE	2	2	3
GRAUSAM	1	2	1
FORMELL	2	1	2
EINFACH	2	2	1
GETEILT	1	2	2
GERICHT	1	2	2
GEISTIG	1	2	2
GLEITEN	1	2	2
GREMIUM	2	2	1
HEILIGE	1	2	2
GLAUBEN	1	2	2
FLIEHEN	2	2	2
GALLONE	1	2	2
GEDICHT	2	2	1
GEGEBEN	2	2	2
FEBRUAR	2	2	1
HANDELN	2	1	2
KAPITEL	1	1	2
HUNDERT	2	2	1
IMPFUNG	2	2	2
ILLEGAL	1	2	2
GENESEN	2	2	2
GESICHT	2	2	2
KALORIE	1	2	2
HAFTUNG	2	2	1
HEILUNG	2	2	1
KOMISCH	1	1	2
KOMITEE	1	1	3
KOMPLEX	1	1	3
HINWEIS	2	2	2
KICHERN	2	2	2
INDISCH	2	2	2
GREIFEN	1	2	2
HINGABE	2	2	2
KLAUSEL	1	2	1
KOMFORT	2	1	2
KOLLEGE	2	1	2
HUNGRIG	2	2	2
KONKURS	2	1	2
KAMERAD	2	1	2
KRATZEN	1	1	2
KLAVIER	2	2	2
KONZERN	1	2	2
INITIAL	2	2	2
HALTUNG	2	2	2
KEUCHEN	2	2	1
INSASSE	2	2	2
GEWICHT	2	2	3
KONTEXT	2	1	3
KLICKEN	2	2	1
KRIEGER	1	2	2
KONZERT	2	2	2
KREATIV	1	2	2
KREATUR	1	2	2
MANAGER	1	1	2
KOLONIE	2	2	2
MEDIZIN	1	1	2
KOSTBAR	2	1	2
LEGENDE	2	1	2
LEGITIM	2	1	2
KONZEPT	2	2	2
LIEFERN	2	1	2
METHODE	1	1	2
LOGISCH	1	2	3
KORREKT	2	2	2
MEISTER	2	1	2
KORRUPT	2	2	1
KONTAKT	2	2	3
MONITOR	1	1	2
LAUFEND	2	1	2
LEKTION	2	2	2
KONSENS	2	2	3
MAGISCH	1	2	2
KLOPFEN	2	2	2
NACHHER	1	1	2
MELODIE	2	1	2
LIEBEND	2	2	2
NATRIUM	1	1	1
LANGSAM	2	2	2
MAXIMAL	2	2	2
LANDUNG	2	2	1
MINIMAL	1	2	3
MEINUNG	2	2	2
MONTAGE	2	1	2
KNOCHEN	2	2	2
NEGATIV	1	2	2
NEUGIER	1	2	2
MESSUNG	2	2	3
MINIMUM	2	2	2
MUSIKER	1	2	2
PENDELN	1	1	3
MEHRERE	2	1	1
MILLION	2	2	2
NIEDRIG	1	2	2
NUKLEAR	2	1	3
MISSION	2	2	3
PARTNER	1	2	3
MERKMAL	2	1	2
NOTFALL	1	2	3
PATRONE	1	2	2
MUSICAL	2	2	1
NEUTRAL	2	2	2
PORTION	1	1	2
NACHBAR	2	2	1
OLYMPIA	1	2	2
PFEFFER	1	2	2
PASSAGE	1	2	2
NIEMAND	2	2	2
PLATZEN	2	1	2
MISCHEN	2	2	2
NEIGUNG	2	2	3
PROTEIN	1	1	2
PERFEKT	2	1	2
PROZENT	1	1	3
PLASTIK	1	2	3
PROZESS	1	1	2
OKTOBER	1	2	2
PALETTE	2	2	2
PISTOLE	2	1	3
RELATIV	1	1	3
RETTUNG	1	1	2
PFLEGEN	1	2	3
PRALLEN	2	2	2
QUANTEN	2	1	2
ROUTINE	1	1	2
POLIZEI	2	2	2
SAMSTAG	1	1	3
RISKANT	1	2	2
RASSIST	1	2	2
OHNEHIN	2	2	2
PROJEKT	2	2	3
PRODUKT	1	2	2
PROBLEM	2	2	2
PLANUNG	2	2	2
PRINZIP	2	2	2
SAMMELN	2	1	2
PFLICHT	2	2	2
QUARTAL	2	2	2
SATZUNG	1	2	2
RICHTIG	1	2	2
PROTEST	2	2	2
PROVINZ	2	2	3
SCHMUCK	2	1	1
POLITIK	2	2	2
PFLANZE	2	2	3
SCHMUTZ	2	1	2
POSITIV	2	2	3
PROPHET	2	2	2
SCHWACH	1	2	2
SCHEUNE	2	1	1
SCHIENE	1	2	2
SAUEREI	2	2	2
SCHLOSS	2	2	2
ROBOTER	2	2	2
SEGMENT	2	1	2
SCHWARZ	2	1	2
SENATOR	2	1	2
SCHADEN	2	2	2
SCHWERE	2	1	2
SCHEIBE	2	2	2
SCHNELL	2	2	3
SELTSAM	2	1	2
SCHWEIN	2	2	3
SCHWERT	2	1	3
SITZUNG	1	2	2
SEKTION	2	2	3
STADION	1	1	2
SCHICHT	2	2	3
SCHRITT	2	2	2
SCHRIFT	2	2	1
SIEDELN	2	1	2
SCHWUNG	2	2	2
STENGEL	1	1	2
SECHSTE	2	2	2
SPENDER	1	2	3
SERVICE	2	2	1
STIEFEL	1	1	3
SPIELER	1	2	2
SONNTAG	2	2	2
SPERREN	1	2	2
SYMPTOM	2	1	2
SCHANDE	2	2	2
SPIEGEL	1	2	2
STARREN	2	2	2
SKANDAL	2	2	2
SYRISCH	1	2	2
STEIGEN	1	2	3
SHERIFF	2	2	2
STARTEN	2	2	2
SYNDROM	2	1	2
STECKEN	2	2	2
SPEZIES	2	2	2
STEHLEN	2	2	2
TAUSEND	2	1	2
THEATER	2	1	1
SEUFZEN	2	2	2
TELEFON	1	2	2
TEILUNG	2	2	2
STERBEN	2	2	2
STREBEN	2	2	2
SPONSOR	2	2	2
TRAINER	1	2	2
UMARMEN	1	1	2
UMFRAGE	1	1	2
TENDENZ	2	1	2
TRANSIT	1	2	2
SPENDEN	2	2	2
STREUEN	2	2	2
SPRACHE	2	2	2
TRAURIG	1	2	2
TABELLE	2	2	2
TECHNIK	2	2	2
TROMMEL	2	1	3
TRINKEN	1	2	2
TURNIER	1	2	3
UNIFORM	2	1	2
TREIBER	1	2	2
VERBAND	2	1	3
THEORIE	2	2	2
UMSTAND	2	1	2
VITAMIN	1	1	2
UMGEBEN	2	1	2
VETERAN	1	2	2
TROCKEN	2	2	2
VERTRAG	1	2	2
