word	greedy	greedy_adv	simple
ENTBEHREN	1	2	2
EILIGSTEM	2	2	2
ELEMENTAR	2	1	2
ENTWICHST	2	2	2
ERBFAEHIG	1	2	2
ENTNIMMST	2	2	2
EHRENWORT	2	3	1
EINLEITEN	2	2	3
ENTWICHEN	2	3	2
EINGRABEN	2	2	1
ERRATISCH	2	2	1
BLECHERNE	2	2	2
ERSTEIGEN	1	1	1
EITELSTER	2	2	2
ENTLADUNG	2	2	2
ENTFERNTE	2	2	2
ERHAENGEN	2	2	2
EINGEDENK	2	2	2
ERFRIERST	2	2	2
DENKMALEN	2	3	2
DRUCKTEST	2	3	2
ERBRICHST	2	2	2
ERLAHMUNG	2	2	4
ERNEUERTE	2	3	2
ENTWIRRTE	2	2	2
ENGELHAAR	2	3	1
ERDICHTEN	2	3	2
ENTPUPPEN	2	2	3
ERGRAUEND	2	2	2
DROHENDEN	2	2	3
EHRLOSERE	2	2	1
EUROBONDS	2	2	2
ERMITTELN	2	2	1
ENTLEIHEN	2	2	3
FAHNENEID	2	2	1
ELFENKIND	2	2	2
ERNTEZEIT	2	2	2
ERACHTEST	2	3	2
ERMUNTERT	2	2	3
EXKANZLER	2	2	2
FALTETEST	2	2	1
FESTIGTEN	1	2	2
FAULPELZE	2	2	2
FASERIGEN	1	1	1
FABRIKATS	2	1	1
FAHRRINNE	2	1	1
FESSELNDE	2	2	1
ERREGTEST	2	3	3
FACHKURSE	2	2	2
FETTESTEM	2	2	2
FESTKOMMT	2	2	2
FLEXIBLEM	2	2	2
EUROPACUP	2	2	2
ERZIELEND	2	2	2
ERWACHTER	2	3	3
ERSPARTES	2	2	2
ERWACHTEN	3	3	3
FALLENDER	3	3	2
FLUGWEGES	2	2	1
ERDREICHE	2	1	2
FETTSUCHT	2	2	2
FESTHALTE	2	2	3
FINDIGSTE	2	2	2
FETTESTES	2	2	3
FERIENORT	2	2	1
ENTLADEND	2	2	2
ERHEBENDE	2	2	2
FISCHBEIN	1	1	1
FOERMLICH	2	2	2
FOULSPIEL	2	1	2
FOERDERTE	2	2	2
ERZWANGET	2	2	2
FLORIEREN	2	2	2
FERTIGUNG	1	2	2
FORDWERKE	2	2	2
ERZEUGEND	2	3	2
FALLTUERE	2	2	2
ERWEITERE	2	2	3
GAERENDES	1	2	1
FUNGIEREN	1	2	1
FOLGSAMEM	2	2	1
FLOETENDE	2	2	2
GABELIGES	1	2	2
FLUGLOTSE	2	1	1
FUSSWEGEN	1	1	2
ERWEHRTEN	2	2	3
FORMENBAU	2	2	1
ERRECHNEN	3	2	2
GAERSTOFF	1	2	1
FORMELLEM	2	2	2
GARSTIGES	2	2	3
ERBEUTEND	2	2	2
GEBRAUCHE	1	2	3
GEBAEUDEN	2	2	2
ERZIELBAR	2	2	2
GEFUEGIGE	2	1	2
GEBRUELLS	1	1	2
FRAGLOSER	2	3	2
GAENSCHEN	1	2	2
GAFFENDES	1	3	1
FREVELTAT	2	1	2
FAELSCHST	2	2	2
GEBUERTIG	2	1	2
FORMSTAHL	2	2	2
GEBUESSTE	2	2	2
FEIERLICH	2	2	2
FIEBERTEN	3	2	2
GARSTIGEM	2	2	1
ERWEISEND	2	2	2
FRUEHEREN	2	2	2
GEFUEHLEN	2	2	2
GEBUESCHE	2	1	1
FORTHOLEN	2	2	2
FILMENDEN	3	2	2
GEDROHTES	2	2	2
GEDIENTER	2	2	2
FUEGSAMEM	2	2	1
ERNENNEND	2	3	3
GEMAESSEN	2	2	2
GELBSUCHT	2	2	1
FREISTOSS	2	2	2
GEOMETRIE	1	2	2
GEBLIEBEN	1	2	2
ERWIRKTEN	2	2	2
FILMMUSIK	2	2	1
FROEHLICH	2	2	3
GEDRUNGEN	2	2	2
GEBACKENE	2	2	2
GESEHENER	1	1	2
GEBILDETE	2	2	1
GESONDERT	1	2	1
GEHEILTER	2	3	2
GENIERTEN	2	3	2
GESPEISTE	2	2	2
ERWECKEND	2	2	2
GEKENTERT	2	2	2
GEMAHNTES	2	2	2
GESPULTEM	2	2	2
GENUTZTEN	2	3	3
GELIEHENE	2	2	2
GEGANGENE	2	3	2
GEOMETERN	1	1	1
GELUEBDES	2	2	2
GEBORENER	2	2	3
GESTREIKT	2	2	4
FRECHSTEM	2	3	2
GESCHAEFT	2	2	2
GESPICKTE	2	2	2
GESTOERTE	2	2	2
GERITTENE	2	2	2
GESURRTEN	1	1	2
GEHEIZTEN	2	2	3
GELEHRTEN	2	2	3
GEPLATZTE	2	2	2
GENEHMERE	2	2	2
GLAEUBIGE	1	1	2
GEREIMTEM	3	3	3
GEMISTETE	2	3	2
GETOETETE	2	2	1
GEWAEHNTE	2	2	2
GERAFFTEM	3	3	3
GIFTPILZE	2	2	1
GEHEMMTER	2	3	3
GETAKTETE	2	2	3
GLASFIGUR	2	1	1
GENAUERER	2	2	3
GESCHECHT	2	2	2
FORMENDEN	2	2	2
GERATENES	1	2	2
GLAUBENDE	1	2	2
GRABSTEIN	1	2	1
GENOMMENE	2	3	2
GOLDTRAUM	1	2	2
GERETTETE	2	3	3
GNAEDIGES	1	1	1
GEGLICHEN	2	3	2
GLASSTURZ	2	2	1
GRUNDIDEE	2	1	2
GRIFFIGES	2	2	2
GENESENEN	2	2	2
GERIESELN	1	2	1
GEWUSSTES	2	2	3
GEREIMTEN	1	3	3
HAARNADEL	2	1	2
GOLFPLATZ	2	2	2
GETRETENE	2	2	1
GEWOHNTER	2	2	2
GLAETTUNG	2	2	2
GETROTTET	2	2	3
GELEHRTER	2	3	3
GRATULANT	1	2	1
GEWERKTEN	3	2	4
GUTMACHTE	2	2	2
GREENHORN	2	2	1
GROESSERE	2	2	2
GOLFKRIEG	2	2	2
GORBACHOV	1	2	2
GUELTIGES	2	1	2
HANDELTET	2	2	2
HAARGENAU	1	2	1
GEKERBTEN	2	3	2
HEIDEHAUS	1	1	1
HALTBAREM	2	2	2
HAERTESTE	2	2	3
GEWALLTES	2	3	3
GETURNTEM	2	2	3
FREGATTEN	2	3	1
GEWUSSTEN	2	2	2
GELEUGNET	2	2	2
HANNELORE	2	2	1
FREUENDEN	2	2	2
GRUENKOHL	2	2	2
HALBKREIS	2	2	2
GEHUNGERT	2	2	2
HALTENDES	2	2	3
HEIRATEND	2	1	2
HAFTBARES	2	2	3
HANSARING	1	2	1
GREIFHAND	1	2	2
GLATTESTE	1	3	2
HINTERHOF	2	2	1
HANGENDEN	2	3	3
HACKENDEN	2	2	2
IDEALSTES	2	2	2
GEZAUBERT	2	2	4
HUNGRIGER	2	2	2
ILLUSTRER	2	2	3
INITIATOR	2	2	2
GETEERTEM	3	3	2
INSERIERT	2	2	1
HALBTOTEN	2	2	2
HUTFILTER	1	1	2
HEIZUNGEN	2	2	3
HERLEITEN	3	2	2
HINSTELLT	2	2	2
IMITATION	1	2	1
HOCHEBENE	2	2	2
IMPFSTOFF	2	2	2
GROELENDE	2	2	3
HEROISCHE	2	2	2
JAEHRIGEN	1	2	2
HOLZBRETT	2	2	1
HERAUFKAM	2	2	2
INSTITUTE	2	2	2
GEWOHNTEN	2	2	3
HAGEREREN	2	2	2
HEMDKNOPF	2	1	2
HERZLOSER	2	2	2
JUBELNDEM	2	1	2
INNIGSTES	2	2	3
HUESTELTE	2	2	2
HOECHSTEM	2	2	2
GEROLLTER	2	2	2
IDEOLOGIE	2	2	2
JOBABLAUF	2	2	2
HARMLOSEM	2	3	2
HIERDURCH	1	2	2
JUGENDHOF	2	2	2
HALBINSEL	1	2	2
KALBFELLE	2	2	2
HITLERTUM	2	1	1
INDISCHEM	2	2	2
KASTEITES	2	2	1
HOCHREGAL	1	2	2
HOLZSTOSS	2	2	1
INTERVIEW	2	2	2
KAISCHECK	2	2	2
JUEDINNEN	2	1	3
HINSTREUT	2	2	2
HERRENLOS	2	1	2
HITPARADE	2	2	1
KAMELHAAR	2	2	2
KESSESTEN	2	2	2
HOFFENDES	2	2	4
KOLLISION	1	2	2
KANINCHEN	2	2	2
KLATSCHES	2	2	2
KAISERTUM	2	1	2
KLAGENDES	2	2	1
IRANISCHE	2	2	2
KINNHAKEN	2	2	2
KANDINSKY	2	2	2
KAELTESTE	2	2	2
KALKARMEM	2	2	2
KLEINKIND	2	2	2
KOMPLEXER	2	2	2
KAPITALES	2	2	1
HOECHSTEN	2	2	2
KAUFKRAFT	2	2	3
HOFMAUERN	2	1	2
HAUSENDES	2	3	3
KILOWATTS	2	2	2
KOSTBAREN	2	2	2
KOALIEREN	2	2	3
KOERNIGEN	2	1	3
KAUERNDER	2	2	2
KAUFMIETE	1	1	1
HUNDERTER	2	2	3
KNOECHELS	2	2	2
KNATTERND	2	2	3
KLEINBILD	2	2	2
KONFUZIUS	2	2	2
KRIEGSZUG	2	2	3
LAUTENDER	2	2	5
JURYFREIE	2	2	2
KNOPFLOCH	2	2	1
KOSTENDER	2	2	3
LANDROVER	2	2	2
KOKOSNUSS	2	2	2
LUSTSPIEL	1	1	2
LAGERHAUS	2	2	2
LASSENDER	2	2	2
KLISCHEES	2	2	2
LOHNSTOPP	2	1	2
KURZWELLE	2	2	2
LEICHTBAU	2	2	2
MANIERIST	2	2	1
KNACKENDE	2	3	3
KRAFTVOLL	2	2	3
LEGALERER	2	2	2
KUEHLERES	2	2	3
MAECHTIGE	2	2	1
KOPIERTES	2	3	2
KUENDIGEN	3	2	2
LEITUNGEN	2	2	2
LADELUKEN	2	2	2
LOTTOPECH	2	2	2
MANIFESTE	2	2	2
LOEBLICHE	2	2	3
MASSEUREN	1	1	1
MARQUISEN	1	2	1
KURZLEBIG	2	1	2
LEGALSTEN	1	2	2
LAESTIGEM	2	2	3
LENKHILFE	2	2	2
MATRATZEN	2	1	2
KRAUSEREM	2	2	3
HERBESTES	2	2	2
MARGARINE	2	2	1
LEUGNETET	1	2	1
KLAFFENDE	3	3	2
MASSIVSTE	2	2	2
KLAMMERTE	2	2	3
MASSAKERS	2	2	1
MIKROCHIP	2	2	3
MISSFIELT	2	2	1
NEUGUINEA	1	1	1
KAEMPFTEN	2	2	2
