word	greedy	greedy_adv	simple
ABFALL	2	1	0
AKZENT	2	2	2
AKTION	2	2	1
AGENDA	2	1	1
ABSATZ	2	2	1
ANDERS	2	2	3
ALLEIN	2	2	1
ANDERE	2	1	2
ANTEIL	2	1	1
ANWALT	2	1	1
ANREIZ	2	2	2
ANONYM	2	2	2
ANFANG	2	2	1
ARBEIT	2	1	1
ASPEKT	2	2	2
ATMUNG	2	2	2
ATHLET	2	1	1
ANGELN	2	1	1
AUGUST	2	2	2
ARCHIV	2	1	2
AUFZUG	2	2	1
ANLAGE	2	2	1
BANANE	2	2	1
BALLON	2	2	1
BEWEIS	2	2	3
BENZIN	2	2	1
BESSER	2	2	2
BACKUP	2	2	2
BESUCH	2	2	3
BILLIG	2	1	1
BANKER	2	3	2
BETRUG	2	2	3
BITTEN	2	2	2
BIZARR	1	2	1
BEZIRK	2	2	3
BRUTAL	1	1	1
BEFEHL	2	1	1
BEREIT	2	2	2
BLUTEN	2	2	2
BITTER	2	2	2
BESITZ	1	2	2
BLUTIG	2	2	2
CENTER	1	2	1
BRAUCH	2	2	2
BUDGET	2	2	3
CAMPUS	2	2	1
BUTTER	2	2	3
BLEIBE	2	2	2
BINDEN	2	2	2
CHARTA	2	2	1
BILDEN	2	2	1
CLEVER	2	1	1
CHANCE	2	2	2
BUCHEN	3	2	3
COWBOY	2	2	2
DOLLAR	1	1	1
DELIKT	2	2	2
DECKEL	2	2	1
DANKEN	2	3	2
CHEMIE	2	2	2
BOHREN	2	2	2
DRITTE	1	1	2
EDITOR	1	1	2
DETAIL	2	2	1
DIALOG	2	2	1
BACKEN	3	2	1
DICHTE	1	2	2
BRUDER	2	3	2
DENKEN	2	2	2
EINATZ	2	2	2
EINSAM	1	2	2
EXTREM	1	1	2
EINMAL	2	2	1
DOMAIN	2	2	2
DIENEN	2	2	2
DEKADE	2	1	1
DIREKT	2	2	2
DUNKEL	2	2	2
DISPUT	1	2	2
FALTEN	2	1	2
EXTERN	1	2	2
FAKTOR	2	2	2
FALSCH	2	2	1
ERSATZ	2	2	3
DUSCHE	2	2	2
ENDLOS	2	2	3
FABRIK	2	2	1
ERFOLG	2	1	1
ERTRAG	2	2	2
BURGER	2	3	3
DROHEN	3	2	2
FALLEN	2	1	1
FINALE	2	2	1
FAHRER	2	2	2
FIEBER	2	2	1
FILTER	2	1	2
FLUCHT	1	1	2
DAUMEN	2	3	2
FANGEN	2	3	2
EXPORT	2	2	3
FELSEN	2	2	2
CHARME	2	2	2
ERWERB	2	2	2
FLOTTE	2	1	2
FINGER	1	2	2
FEHLER	2	2	2
FORMEL	2	2	1
FASSEN	2	3	3
GARTEN	1	1	3
EPOCHE	2	2	2
FRISCH	2	2	2
FLIEGE	2	2	2
GEBIET	1	2	2
GEFAHR	2	1	1
FICKEN	2	3	1
FINDEN	2	3	2
FOSSIL	2	2	2
FORMAT	2	2	2
FEHLEN	2	2	1
FREUND	2	2	2
FRUCHT	2	2	2
GENIAL	2	1	2
FAHREN	3	3	1
GEGNER	2	2	2
FUTTER	2	3	2
GENIUS	1	2	2
GEISEL	1	2	2
FREUDE	2	2	2
GEHALT	2	2	1
GIFTIG	2	1	1
GESETZ	2	1	2
FLAMME	2	2	3
GEBURT	2	2	2
GESAMT	2	2	2
GEDULD	2	2	1
GEWEHR	2	1	2
GEHIRN	2	2	2
FLAGGE	2	2	2
GEWALT	2	2	2
GIPFEL	2	2	2
FURCHT	2	2	3
GESUND	2	2	2
GEWEBE	2	2	3
FRAGEN	2	3	2
GERADE	2	1	2
GLOBUS	2	2	2
GRUSEL	1	2	2
HEFTIG	1	1	2
GRENZE	2	2	2
GLEICH	2	2	2
HARSCH	2	2	2
GARAGE	2	2	1
GERUCH	2	2	2
GRAFIK	2	2	2
HANDEL	2	2	2
HEILIG	2	2	3
HEIMAT	2	2	2
HASSEN	2	2	2
HORMON	2	2	2
GLOCKE	2	2	2
GLOBAL	2	2	1
HINEIN	2	2	2
HINTER	2	3	2
INHALT	2	2	2
HAMMER	2	2	2
HIRSCH	2	2	2
INNERE	1	2	2
FOLGEN	2	2	2
HIMMEL	2	2	3
GRABEN	2	2	2
GOLDEN	2	2	2
JUNIOR	1	2	2
GRUPPE	2	2	2
IMPULS	2	2	2
JANUAR	1	2	2
HELFEN	2	2	2
IRISCH	2	2	3
INSEKT	1	2	2
JEMAND	2	1	2
KASTEN	2	1	3
HUNGER	2	3	2
HEILEN	2	2	2
KEINER	1	2	3
IPHONE	2	2	2
HACKEN	2	3	2
KAFFEE	2	1	1
KIEFER	2	2	2
KAISER	1	3	3
JUGEND	2	2	3
IRONIE	2	2	2
KABINE	2	2	2
KIRCHE	2	2	2
KRITIK	1	1	2
KLIENT	2	2	2
KLASSE	2	2	2
INTERN	2	2	2
KULTUR	2	1	2
KLEINE	2	2	2
JUBELN	2	2	1
LAPTOP	1	1	2
HOFFEN	2	3	2
KASINO	2	2	3
KLINIK	2	2	2
LATEIN	2	1	2
HAUFEN	2	2	2
KAMMER	2	3	3
KOSTEN	2	2	2
KREDIT	2	2	3
LEICHT	2	1	2
JEDOCH	2	2	2
KUMPEL	2	2	2
KLINGE	2	2	3
LEIDER	2	2	3
LERNER	2	2	3
KNECHT	2	2	2
LASSEN	2	2	3
MANTEL	1	1	3
KAMERA	2	2	2
LEIDEN	2	2	3
LIZENZ	1	2	3
KAUFEN	2	3	2
LEHRER	2	2	2
MANDAT	1	2	2
MENTAL	1	1	2
MENSCH	1	2	2
MENTOR	1	2	2
KRAGEN	2	3	3
MARSCH	2	2	2
MANCHE	2	2	3
MIETEN	2	1	2
LEHREN	2	2	2
LAUFEN	2	2	2
MITTEL	1	2	4
LERNEN	2	2	3
KOMMEN	2	3	2
MEDIEN	2	2	2
MARINE	2	2	2
MITTAG	2	2	3
MONTAG	1	2	3
LACHEN	2	2	2
MANGEL	2	2	2
METALL	2	2	1
MINUTE	2	2	2
MESSEN	2	2	3
MESSER	2	2	2
MARKER	2	3	3
MUSKEL	1	2	2
KOCHEN	3	3	2
MUSTER	2	2	2
MUSEUM	2	2	2
NIEDER	1	2	2
NUTZER	1	1	2
KUCHEN	3	3	3
MODERN	2	2	3
MACHEN	2	3	2
NICHTS	1	2	2
